Ldm, 04:26:09,578 	 INFO  	 Opened database successfully 		
Ldm, 04:26:10,451 	 DEBUG 	 CAM received 		
Ldm, 04:26:10,451 	 DEBUG 	 CAM received 		
Ldm, 04:26:10,451 	 DEBUG 	 camInfo received 		
Ldm, 04:26:10,452 	 DEBUG 	 camInfo received 		
Ldm, 04:26:10,452 	 DEBUG 	 waiting for request 		
Ldm, 04:26:10,678 	 DEBUG 	 camInfo received 		
Ldm, 04:26:10,678 	 DEBUG 	 CAM received 		
Ldm, 04:26:10,779 	 DEBUG 	 camInfo received 		
Ldm, 04:26:10,779 	 DEBUG 	 CAM received 		
Ldm, 04:26:10,880 	 DEBUG 	 camInfo received 		
Ldm, 04:26:10,880 	 DEBUG 	 CAM received 		
Ldm, 04:26:10,980 	 DEBUG 	 camInfo received 		
Ldm, 04:26:10,981 	 DEBUG 	 CAM received 		
Ldm, 04:26:11,081 	 DEBUG 	 camInfo received 		
Ldm, 04:26:11,081 	 DEBUG 	 CAM received 		
Ldm, 04:26:11,682 	 DEBUG 	 camInfo received 		
Ldm, 04:26:11,682 	 DEBUG 	 CAM received 		
Ldm, 04:26:11,783 	 DEBUG 	 camInfo received 		
Ldm, 04:26:11,783 	 DEBUG 	 CAM received 		
Ldm, 04:26:11,883 	 DEBUG 	 camInfo received 		
Ldm, 04:26:11,884 	 DEBUG 	 CAM received 		
Ldm, 04:26:11,984 	 DEBUG 	 camInfo received 		
Ldm, 04:26:11,985 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,085 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,085 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,186 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,186 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,286 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,287 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,387 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,387 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,487 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,488 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,588 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,588 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,689 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,689 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,789 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,789 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,890 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,890 	 DEBUG 	 CAM received 		
Ldm, 04:26:12,991 	 DEBUG 	 camInfo received 		
Ldm, 04:26:12,991 	 DEBUG 	 CAM received 		
Ldm, 04:26:13,091 	 DEBUG 	 camInfo received 		
Ldm, 04:26:13,092 	 DEBUG 	 CAM received 		
Ldm, 04:26:13,192 	 DEBUG 	 camInfo received 		
Ldm, 04:26:13,193 	 DEBUG 	 CAM received 		
Ldm, 04:26:13,293 	 DEBUG 	 camInfo received 		
Ldm, 04:26:13,293 	 DEBUG 	 CAM received 		
Ldm, 04:26:13,393 	 DEBUG 	 camInfo received 		
Ldm, 04:26:13,394 	 DEBUG 	 CAM received 		
Ldm, 04:26:13,494 	 DEBUG 	 camInfo received 		
Ldm, 04:26:13,495 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,095 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,096 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,196 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,196 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,296 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,297 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,397 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,398 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,498 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,498 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,598 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,598 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,699 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,699 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,799 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,800 	 DEBUG 	 CAM received 		
Ldm, 04:26:14,900 	 DEBUG 	 camInfo received 		
Ldm, 04:26:14,902 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,002 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,002 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,102 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,103 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,203 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,204 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,304 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,304 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,404 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,405 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,505 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,506 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,606 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,606 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,706 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,707 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,807 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,808 	 DEBUG 	 CAM received 		
Ldm, 04:26:15,908 	 DEBUG 	 camInfo received 		
Ldm, 04:26:15,909 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,003 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:16,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:16,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:16,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:16,009 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,009 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,109 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,110 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,210 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,210 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,310 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,311 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,411 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,412 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,512 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,512 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,612 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,613 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,713 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,714 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,814 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,815 	 DEBUG 	 CAM received 		
Ldm, 04:26:16,915 	 DEBUG 	 camInfo received 		
Ldm, 04:26:16,915 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,003 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:17,003 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:17,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:17,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:17,015 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,016 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,116 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,117 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,217 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,218 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,318 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,318 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,418 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,419 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,519 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,520 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,620 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,621 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,720 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,721 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,821 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,821 	 DEBUG 	 CAM received 		
Ldm, 04:26:17,922 	 DEBUG 	 camInfo received 		
Ldm, 04:26:17,923 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,003 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:18,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:18,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:18,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:18,023 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,023 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,124 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,125 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,225 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,225 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,326 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,326 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,426 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,426 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,527 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,527 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,628 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,629 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,729 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,729 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,829 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,830 	 DEBUG 	 CAM received 		
Ldm, 04:26:18,930 	 DEBUG 	 camInfo received 		
Ldm, 04:26:18,931 	 DEBUG 	 CAM received 		
Ldm, 04:26:19,003 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:19,003 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:19,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:19,004 	 DEBUG 	 dccInfo received 		
Ldm, 04:26:19,031 	 DEBUG 	 camInfo received 		
Ldm, 04:26:19,031 	 DEBUG 	 CAM received 		
Ldm, 04:26:19,132 	 DEBUG 	 camInfo received 		
Ldm, 04:26:19,132 	 DEBUG 	 CAM received 		
Ldm, 04:26:19,232 	 DEBUG 	 camInfo received 		
Ldm, 04:26:19,233 	 DEBUG 	 CAM received 		
Ldm, 04:26:19,333 	 DEBUG 	 camInfo received 		
Ldm, 04:26:19,333 	 DEBUG 	 CAM received 		
Ldm, 04:26:19,433 	 DEBUG 	 camInfo received 		
