Dcc 	 Index 	Channel Load 	Flush req in BE 	Flush not req in BE 	Flush req in BE in last 1 sec 	Flush not req in BE in last 1 sec
Dcc 	 136	-1.000000	0	0	0	0
Dcc 	 137	-1.000000	0	0	0	0
Dcc 	 138	-1.000000	0	0	0	0
Dcc 	 139	-1.000000	0	0	0	0
Dcc 	 140	-1.000000	0	0	0	0
Dcc 	 141	-1.000000	0	0	0	0
Dcc 	 142	-1.000000	0	0	0	0
Dcc 	 143	-1.000000	0	0	0	0
Dcc 	 144	-1.000000	0	0	0	0
Dcc 	 145	-1.000000	0	0	0	0
Dcc 	 146	-1.000000	0	0	0	0
Dcc 	 147	-1.000000	0	0	0	0
Dcc 	 148	-1.000000	0	0	0	0
Dcc 	 149	-1.000000	0	0	0	0
Dcc 	 150	-1.000000	0	0	0	0
Dcc 	 151	-1.000000	0	0	0	0
Dcc 	 152	-1.000000	0	0	0	0
Dcc 	 153	-1.000000	0	0	0	0
Dcc 	 154	-1.000000	0	0	0	0
Dcc 	 155	-1.000000	0	0	0	0
