Dcc, 00:26:55,454 	 INFO  	 Current state: Relaxed 		
Dcc, 00:26:55,459 	 INFO  	 start receiving via Hardware 		
Dcc, 00:26:56,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:56,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:56,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:56,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:57,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:57,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:57,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:57,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:57,459 	 DEBUG 	 AC 4: added token -> available tokens: 1 		
Dcc, 00:26:57,459 	 DEBUG 	 AC 6: added token -> available tokens: 1 		
Dcc, 00:26:57,459 	 DEBUG 	 AC 0: added token -> available tokens: 1 		
Dcc, 00:26:57,459 	 DEBUG 	 AC 1: added token -> available tokens: 1 		
Dcc, 00:26:58,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:58,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:58,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:58,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:59,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:59,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:59,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:59,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:26:59,459 	 DEBUG 	 AC 4: added token -> available tokens: 2 		
Dcc, 00:26:59,459 	 DEBUG 	 AC 6: added token -> available tokens: 2 		
Dcc, 00:26:59,459 	 DEBUG 	 AC 0: added token -> available tokens: 2 		
Dcc, 00:26:59,459 	 DEBUG 	 AC 1: added token -> available tokens: 2 		
Dcc, 00:27:00,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:00,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:00,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:00,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:01,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:01,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:01,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:01,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:01,459 	 DEBUG 	 AC 4: added token -> available tokens: 3 		
Dcc, 00:27:01,459 	 DEBUG 	 AC 6: added token -> available tokens: 3 		
Dcc, 00:27:01,459 	 DEBUG 	 AC 0: added token -> available tokens: 3 		
Dcc, 00:27:01,459 	 DEBUG 	 AC 1: added token -> available tokens: 3 		
Dcc, 00:27:02,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:02,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:02,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:02,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:03,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:03,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:03,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:03,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:03,458 	 DEBUG 	 AC 4: added token -> available tokens: 4 		
Dcc, 00:27:03,459 	 DEBUG 	 AC 6: added token -> available tokens: 4 		
Dcc, 00:27:03,459 	 DEBUG 	 AC 0: added token -> available tokens: 4 		
Dcc, 00:27:03,459 	 DEBUG 	 AC 1: added token -> available tokens: 4 		
Dcc, 00:27:04,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:04,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:04,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:04,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:05,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:05,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:05,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:05,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:05,459 	 DEBUG 	 AC 4: added token -> available tokens: 5 		
Dcc, 00:27:05,459 	 DEBUG 	 AC 6: added token -> available tokens: 5 		
Dcc, 00:27:05,459 	 DEBUG 	 AC 0: added token -> available tokens: 5 		
Dcc, 00:27:05,459 	 DEBUG 	 AC 1: added token -> available tokens: 5 		
Dcc, 00:27:06,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:06,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:06,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:06,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:07,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:07,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:07,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:07,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:07,459 	 DEBUG 	 AC 4: added token -> available tokens: 6 		
Dcc, 00:27:07,459 	 DEBUG 	 AC 6: added token -> available tokens: 6 		
Dcc, 00:27:07,459 	 DEBUG 	 AC 0: added token -> available tokens: 6 		
Dcc, 00:27:07,459 	 DEBUG 	 AC 1: added token -> available tokens: 6 		
Dcc, 00:27:08,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:08,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:08,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:08,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:09,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:09,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:09,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:09,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:09,459 	 DEBUG 	 AC 4: added token -> available tokens: 7 		
Dcc, 00:27:09,459 	 DEBUG 	 AC 6: added token -> available tokens: 7 		
Dcc, 00:27:09,459 	 DEBUG 	 AC 0: added token -> available tokens: 7 		
Dcc, 00:27:09,459 	 DEBUG 	 AC 1: added token -> available tokens: 7 		
Dcc, 00:27:10,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:10,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:10,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:10,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:11,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:11,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:11,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:11,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:11,459 	 DEBUG 	 AC 4: added token -> available tokens: 8 		
Dcc, 00:27:11,459 	 DEBUG 	 AC 6: added token -> available tokens: 8 		
Dcc, 00:27:11,459 	 DEBUG 	 AC 0: added token -> available tokens: 8 		
Dcc, 00:27:11,459 	 DEBUG 	 AC 1: added token -> available tokens: 8 		
Dcc, 00:27:12,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:12,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:12,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:12,459 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:13,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:13,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:13,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:13,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:13,458 	 DEBUG 	 AC 4: added token -> available tokens: 9 		
Dcc, 00:27:13,459 	 DEBUG 	 AC 6: added token -> available tokens: 9 		
Dcc, 00:27:13,459 	 DEBUG 	 AC 0: added token -> available tokens: 9 		
Dcc, 00:27:13,459 	 DEBUG 	 AC 1: added token -> available tokens: 9 		
Dcc, 00:27:14,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:14,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:14,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:14,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:15,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:15,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:15,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:15,458 	 DEBUG 	 dccInfo sent 		
Dcc, 00:27:15,458 	 DEBUG 	 AC 4: added token -> available tokens: 10 		
Dcc, 00:27:15,459 	 DEBUG 	 AC 6: added token -> available tokens: 10 		
Dcc, 00:27:15,459 	 DEBUG 	 AC 0: added token -> available tokens: 10 		
