Dcc, 04:23:17,032 	 INFO  	 Current state: Relaxed 		
Dcc, 04:23:17,037 	 INFO  	 start receiving via Hardware 		
Dcc, 04:23:18,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:18,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:18,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:18,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:19,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:19,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:19,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:19,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:19,037 	 DEBUG 	 AC 4: added token -> available tokens: 1 		
Dcc, 04:23:19,037 	 DEBUG 	 AC 6: added token -> available tokens: 1 		
Dcc, 04:23:19,037 	 DEBUG 	 AC 0: added token -> available tokens: 1 		
Dcc, 04:23:19,037 	 DEBUG 	 AC 1: added token -> available tokens: 1 		
Dcc, 04:23:20,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:20,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:20,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:20,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:21,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:21,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:21,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:21,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:21,037 	 DEBUG 	 AC 4: added token -> available tokens: 2 		
Dcc, 04:23:21,037 	 DEBUG 	 AC 6: added token -> available tokens: 2 		
Dcc, 04:23:21,037 	 DEBUG 	 AC 0: added token -> available tokens: 2 		
Dcc, 04:23:21,037 	 DEBUG 	 AC 1: added token -> available tokens: 2 		
Dcc, 04:23:22,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:22,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:22,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:22,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:23,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:23,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:23,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:23,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:23,037 	 DEBUG 	 AC 4: added token -> available tokens: 3 		
Dcc, 04:23:23,037 	 DEBUG 	 AC 6: added token -> available tokens: 3 		
Dcc, 04:23:23,037 	 DEBUG 	 AC 0: added token -> available tokens: 3 		
Dcc, 04:23:23,037 	 DEBUG 	 AC 1: added token -> available tokens: 3 		
Dcc, 04:23:24,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:24,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:24,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:24,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:25,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:25,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:25,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:25,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:25,037 	 DEBUG 	 AC 4: added token -> available tokens: 4 		
Dcc, 04:23:25,037 	 DEBUG 	 AC 6: added token -> available tokens: 4 		
Dcc, 04:23:25,037 	 DEBUG 	 AC 0: added token -> available tokens: 4 		
Dcc, 04:23:25,037 	 DEBUG 	 AC 1: added token -> available tokens: 4 		
Dcc, 04:23:26,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:26,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:26,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:26,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:27,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:27,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:27,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:27,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:27,037 	 DEBUG 	 AC 4: added token -> available tokens: 5 		
Dcc, 04:23:27,037 	 DEBUG 	 AC 6: added token -> available tokens: 5 		
Dcc, 04:23:27,037 	 DEBUG 	 AC 0: added token -> available tokens: 5 		
Dcc, 04:23:27,037 	 DEBUG 	 AC 1: added token -> available tokens: 5 		
Dcc, 04:23:28,036 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:28,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:28,037 	 DEBUG 	 dccInfo sent 		
Dcc, 04:23:28,037 	 DEBUG 	 dccInfo sent 		
