Dcc, 05:45:19,910 	 INFO  	 Current state: Relaxed 		
Dcc, 05:45:19,915 	 INFO  	 start receiving via Hardware 		
Dcc, 05:45:20,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:20,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:20,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:20,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:21,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:21,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:21,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:21,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:21,914 	 DEBUG 	 AC 4: added token -> available tokens: 1 		
Dcc, 05:45:21,914 	 DEBUG 	 AC 6: added token -> available tokens: 1 		
Dcc, 05:45:21,914 	 DEBUG 	 AC 0: added token -> available tokens: 1 		
Dcc, 05:45:21,915 	 DEBUG 	 AC 1: added token -> available tokens: 1 		
Dcc, 05:45:22,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:22,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:22,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:22,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:23,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:23,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:23,915 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:23,915 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:23,915 	 DEBUG 	 AC 4: added token -> available tokens: 2 		
Dcc, 05:45:23,915 	 DEBUG 	 AC 6: added token -> available tokens: 2 		
Dcc, 05:45:23,915 	 DEBUG 	 AC 0: added token -> available tokens: 2 		
Dcc, 05:45:23,915 	 DEBUG 	 AC 1: added token -> available tokens: 2 		
Dcc, 05:45:24,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:24,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:24,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:24,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:25,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:25,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:25,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:25,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:25,914 	 DEBUG 	 AC 4: added token -> available tokens: 3 		
Dcc, 05:45:25,914 	 DEBUG 	 AC 6: added token -> available tokens: 3 		
Dcc, 05:45:25,914 	 DEBUG 	 AC 0: added token -> available tokens: 3 		
Dcc, 05:45:25,914 	 DEBUG 	 AC 1: added token -> available tokens: 3 		
Dcc, 05:45:26,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:26,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:26,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:26,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:27,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:27,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:27,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:27,914 	 DEBUG 	 dccInfo sent 		
Dcc, 05:45:27,915 	 DEBUG 	 AC 4: added token -> available tokens: 4 		
Dcc, 05:45:27,915 	 DEBUG 	 AC 6: added token -> available tokens: 4 		
