Ldm, 04:33:23,902 	 INFO  	 Opened database successfully 		
Ldm, 04:33:24,707 	 DEBUG 	 camInfo received 		
Ldm, 04:33:24,708 	 DEBUG 	 waiting for request 		
Ldm, 04:33:35,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:35,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:35,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:35,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:36,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:36,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:36,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:36,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:37,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:37,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:37,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:37,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:38,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:38,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:38,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:38,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:39,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:39,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:39,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:39,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:40,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:40,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:40,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:40,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:41,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:41,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:41,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:41,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:42,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:42,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:42,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:42,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:43,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:43,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:43,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:43,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:44,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:44,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:44,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:44,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:45,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:45,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:45,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:45,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:46,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:46,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:46,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:46,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:47,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:47,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:47,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:47,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:48,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:48,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:48,663 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:48,663 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:49,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:49,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:49,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:49,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:50,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:50,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:50,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:50,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:51,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:51,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:51,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:51,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:52,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:52,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:52,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:52,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:53,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:53,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:53,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:53,663 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:54,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:54,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:54,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:54,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:55,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:55,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:55,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:55,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:56,661 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:56,662 	 DEBUG 	 dccInfo received 		
Ldm, 04:33:56,662 	 DEBUG 	 dccInfo received 		
