Ldm, 00:25:52,436 	 INFO  	 Opened database successfully 		
Ldm, 00:25:53,329 	 DEBUG 	 camInfo received 		
Ldm, 00:25:53,329 	 DEBUG 	 waiting for request 		
Ldm, 00:26:56,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:56,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:56,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:56,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:57,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:57,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:57,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:57,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:58,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:58,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:58,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:58,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:59,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:59,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:59,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:26:59,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:00,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:00,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:00,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:00,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:01,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:01,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:01,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:01,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:02,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:02,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:02,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:02,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:03,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:03,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:03,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:03,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:04,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:04,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:04,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:04,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:05,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:05,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:05,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:05,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:06,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:06,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:06,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:06,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:07,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:07,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:07,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:07,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:08,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:08,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:08,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:08,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:09,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:09,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:09,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:09,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:10,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:10,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:10,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:10,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:11,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:11,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:11,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:11,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:12,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:12,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:12,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:12,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:13,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:13,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:13,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:13,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:14,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:14,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:14,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:14,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:15,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:15,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:15,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:15,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:16,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:16,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:16,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:16,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:17,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:17,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:17,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:17,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:18,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:18,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:18,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:18,460 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:19,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:19,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:19,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:19,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:20,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:20,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:20,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:20,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:21,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:21,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:21,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:21,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:22,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:22,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:22,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:22,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:23,458 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:23,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:23,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:23,459 	 DEBUG 	 dccInfo received 		
Ldm, 00:27:24,459 	 DEBUG 	 dccInfo received 		
