Ldm, 10:54:02,604 	 INFO  	 Opened database successfully 		
Ldm, 10:54:03,633 	 DEBUG 	 waiting for request 		
Ldm, 10:54:09,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:09,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:09,041 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:09,041 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:10,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:10,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:10,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:10,041 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:11,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:11,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:11,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:11,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:12,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:12,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:12,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:12,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:13,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:13,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:13,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:13,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:14,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:14,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:14,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:14,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:15,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:15,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:15,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:15,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:16,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:16,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:16,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:16,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:17,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:17,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:17,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:17,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:18,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:18,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:18,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:18,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:19,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:19,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:19,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:19,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:20,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:20,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:20,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:20,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:21,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:21,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:21,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:21,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:22,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:22,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:22,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:22,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:23,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:23,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:23,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:23,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:24,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:24,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:24,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:24,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:25,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:25,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:25,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:25,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:26,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:26,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:26,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:26,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:27,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:27,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:27,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:27,041 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:28,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:28,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:28,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:28,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:29,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:29,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:29,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:29,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:30,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:30,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:30,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:30,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:31,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:31,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:31,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:31,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:32,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:32,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:32,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:32,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:33,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:33,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:33,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:33,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:34,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:34,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:34,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:34,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:35,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:35,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:35,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:35,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:36,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:36,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:36,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:36,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:37,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:37,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:37,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:37,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:38,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:38,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:38,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:38,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:39,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:39,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:39,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:39,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:40,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:40,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:40,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:40,040 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:41,039 	 DEBUG 	 dccInfo received 		
Ldm, 10:54:41,039 	 DEBUG 	 dccInfo received 		
