Ldm, 05:34:54,915 	 INFO  	 Opened database successfully 		
Ldm, 05:34:56,668 	 DEBUG 	 waiting for request 		
Ldm, 05:34:56,668 	 DEBUG 	 camInfo received 		
Ldm, 05:35:09,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:09,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:09,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:09,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:10,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:10,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:10,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:10,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:11,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:11,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:11,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:11,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:12,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:12,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:12,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:12,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:13,733 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:13,735 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:13,735 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:13,736 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:14,734 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:14,735 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:14,735 	 DEBUG 	 dccInfo received 		
Ldm, 05:35:14,735 	 DEBUG 	 dccInfo received 		
