Ldm, 04:23:13,015 	 INFO  	 Opened database successfully 		
Ldm, 04:23:14,620 	 DEBUG 	 camInfo received 		
Ldm, 04:23:14,620 	 DEBUG 	 waiting for request 		
Ldm, 04:23:18,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:18,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:18,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:18,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:19,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:19,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:19,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:19,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:20,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:20,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:20,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:20,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:21,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:21,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:21,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:21,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:22,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:22,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:22,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:22,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:23,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:23,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:23,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:23,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:24,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:24,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:24,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:24,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:25,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:25,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:25,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:25,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:26,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:26,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:26,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:26,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:27,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:27,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:27,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:27,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:28,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:28,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:28,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:28,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:29,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:29,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:29,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:29,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:30,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:30,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:30,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:30,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:31,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:31,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:31,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:31,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:32,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:32,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:32,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:32,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:33,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:33,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:33,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:33,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:34,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:34,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:34,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:34,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:35,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:35,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:35,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:35,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:36,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:36,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:36,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:36,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:37,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:37,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:37,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:37,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:38,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:38,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:38,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:38,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:39,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:39,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:39,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:39,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:40,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:40,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:40,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:40,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:41,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:41,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:41,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:41,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:42,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:42,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:42,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:42,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:43,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:43,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:43,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:43,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:44,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:44,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:44,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:44,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:45,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:45,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:45,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:45,038 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:46,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:46,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:46,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:46,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:47,036 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:47,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:47,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:47,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:48,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:48,037 	 DEBUG 	 dccInfo received 		
Ldm, 04:23:48,037 	 DEBUG 	 dccInfo received 		
