Ldm, 10:56:25,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:25,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:25,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:26,203 	 DEBUG 	 camInfo received 		
Ldm, 10:56:26,203 	 DEBUG 	 CAM received 		
Ldm, 10:56:26,704 	 DEBUG 	 camInfo received 		
Ldm, 10:56:26,705 	 DEBUG 	 CAM received 		
Ldm, 10:56:26,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:26,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:26,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:26,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:27,205 	 DEBUG 	 camInfo received 		
Ldm, 10:56:27,206 	 DEBUG 	 CAM received 		
Ldm, 10:56:27,706 	 DEBUG 	 camInfo received 		
Ldm, 10:56:27,707 	 DEBUG 	 CAM received 		
Ldm, 10:56:27,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:27,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:27,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:27,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:28,207 	 DEBUG 	 camInfo received 		
Ldm, 10:56:28,207 	 DEBUG 	 CAM received 		
Ldm, 10:56:28,708 	 DEBUG 	 camInfo received 		
Ldm, 10:56:28,708 	 DEBUG 	 CAM received 		
Ldm, 10:56:28,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:28,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:28,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:28,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:29,209 	 DEBUG 	 camInfo received 		
Ldm, 10:56:29,209 	 DEBUG 	 CAM received 		
Ldm, 10:56:29,710 	 DEBUG 	 camInfo received 		
Ldm, 10:56:29,710 	 DEBUG 	 CAM received 		
Ldm, 10:56:29,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:29,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:29,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:29,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:30,211 	 DEBUG 	 camInfo received 		
Ldm, 10:56:30,211 	 DEBUG 	 CAM received 		
Ldm, 10:56:30,712 	 DEBUG 	 camInfo received 		
Ldm, 10:56:30,713 	 DEBUG 	 CAM received 		
Ldm, 10:56:30,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:30,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:30,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:30,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:31,214 	 DEBUG 	 camInfo received 		
Ldm, 10:56:31,214 	 DEBUG 	 CAM received 		
Ldm, 10:56:31,715 	 DEBUG 	 camInfo received 		
Ldm, 10:56:31,715 	 DEBUG 	 CAM received 		
Ldm, 10:56:31,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:31,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:31,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:31,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:32,216 	 DEBUG 	 camInfo received 		
Ldm, 10:56:32,216 	 DEBUG 	 CAM received 		
Ldm, 10:56:32,717 	 DEBUG 	 camInfo received 		
Ldm, 10:56:32,717 	 DEBUG 	 CAM received 		
Ldm, 10:56:32,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:32,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:32,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:32,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:33,218 	 DEBUG 	 camInfo received 		
Ldm, 10:56:33,219 	 DEBUG 	 CAM received 		
Ldm, 10:56:33,719 	 DEBUG 	 camInfo received 		
Ldm, 10:56:33,720 	 DEBUG 	 CAM received 		
Ldm, 10:56:33,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:33,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:33,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:33,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:34,220 	 DEBUG 	 camInfo received 		
