Ldm, 05:45:08,521 	 INFO  	 Opened database successfully 		
Ldm, 05:45:09,412 	 DEBUG 	 camInfo received 		
Ldm, 05:45:09,412 	 DEBUG 	 waiting for request 		
Ldm, 05:45:20,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:20,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:20,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:20,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:21,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:21,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:21,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:21,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:22,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:22,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:22,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:22,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:23,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:23,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:23,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:23,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:24,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:24,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:24,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:24,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:25,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:25,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:25,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:25,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:26,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:26,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:26,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:26,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:27,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:27,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:27,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:27,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:28,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:28,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:28,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:28,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:29,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:29,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:29,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:29,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:30,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:30,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:30,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:30,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:31,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:31,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:31,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:31,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:32,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:32,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:32,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:32,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:33,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:33,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:33,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:33,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:34,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:34,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:34,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:34,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:35,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:35,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:35,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:35,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:36,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:36,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:36,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:36,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:37,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:37,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:37,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:37,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:38,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:38,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:38,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:38,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:39,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:39,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:39,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:39,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:40,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:40,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:40,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:40,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:41,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:41,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:41,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:41,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:42,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:42,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:42,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:42,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:43,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:43,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:43,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:43,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:44,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:44,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:44,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:44,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:45,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:45,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:45,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:45,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:46,914 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:46,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:46,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:46,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:47,915 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:47,916 	 DEBUG 	 dccInfo received 		
Ldm, 05:45:47,916 	 DEBUG 	 dccInfo received 		
