Ldm, 00:40:29,551 	 INFO  	 Opened database successfully 		
Ldm, 00:40:30,343 	 DEBUG 	 CAM received 		
Ldm, 00:40:30,343 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,343 	 DEBUG 	 waiting for request 		
Ldm, 00:40:30,343 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,343 	 DEBUG 	 CAM received 		
Ldm, 00:40:30,566 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,567 	 DEBUG 	 CAM received 		
Ldm, 00:40:30,667 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,667 	 DEBUG 	 CAM received 		
Ldm, 00:40:30,768 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,768 	 DEBUG 	 CAM received 		
Ldm, 00:40:30,868 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,868 	 DEBUG 	 CAM received 		
Ldm, 00:40:30,969 	 DEBUG 	 camInfo received 		
Ldm, 00:40:30,969 	 DEBUG 	 CAM received 		
Ldm, 00:40:31,570 	 DEBUG 	 camInfo received 		
Ldm, 00:40:31,571 	 DEBUG 	 CAM received 		
Ldm, 00:40:31,671 	 DEBUG 	 camInfo received 		
Ldm, 00:40:31,672 	 DEBUG 	 CAM received 		
Ldm, 00:40:31,772 	 DEBUG 	 camInfo received 		
Ldm, 00:40:31,772 	 DEBUG 	 CAM received 		
Ldm, 00:40:31,873 	 DEBUG 	 camInfo received 		
Ldm, 00:40:31,873 	 DEBUG 	 CAM received 		
Ldm, 00:40:31,974 	 DEBUG 	 camInfo received 		
Ldm, 00:40:31,974 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,074 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,075 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,175 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,175 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,276 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,276 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,376 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,377 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,478 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,478 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,579 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,579 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,679 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,679 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,780 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,780 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,880 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,881 	 DEBUG 	 CAM received 		
Ldm, 00:40:32,981 	 DEBUG 	 camInfo received 		
Ldm, 00:40:32,982 	 DEBUG 	 CAM received 		
Ldm, 00:40:33,082 	 DEBUG 	 camInfo received 		
Ldm, 00:40:33,082 	 DEBUG 	 CAM received 		
Ldm, 00:40:33,182 	 DEBUG 	 camInfo received 		
Ldm, 00:40:33,183 	 DEBUG 	 CAM received 		
Ldm, 00:40:33,283 	 DEBUG 	 camInfo received 		
Ldm, 00:40:33,284 	 DEBUG 	 CAM received 		
Ldm, 00:40:33,384 	 DEBUG 	 camInfo received 		
Ldm, 00:40:33,385 	 DEBUG 	 CAM received 		
Ldm, 00:40:33,485 	 DEBUG 	 camInfo received 		
Ldm, 00:40:33,486 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,086 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,086 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,187 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,187 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,287 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,288 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,388 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,388 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,488 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,489 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,589 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,590 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,691 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,691 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,791 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,791 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,891 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,892 	 DEBUG 	 CAM received 		
Ldm, 00:40:34,992 	 DEBUG 	 camInfo received 		
Ldm, 00:40:34,992 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,092 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,093 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,193 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,194 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,294 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,294 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,395 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,395 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,496 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,496 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,597 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,598 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,698 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,699 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,799 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,799 	 DEBUG 	 CAM received 		
Ldm, 00:40:35,900 	 DEBUG 	 camInfo received 		
Ldm, 00:40:35,900 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,000 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,001 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,101 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,101 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,201 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,202 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,302 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,303 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,403 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,403 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,504 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,504 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,604 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,605 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,705 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,705 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,805 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,806 	 DEBUG 	 CAM received 		
Ldm, 00:40:36,906 	 DEBUG 	 camInfo received 		
Ldm, 00:40:36,906 	 DEBUG 	 CAM received 		
Ldm, 00:40:37,006 	 DEBUG 	 camInfo received 		
Ldm, 00:40:37,007 	 DEBUG 	 CAM received 		
Ldm, 00:40:37,107 	 DEBUG 	 camInfo received 		
Ldm, 00:40:37,107 	 DEBUG 	 CAM received 		
Ldm, 00:40:37,208 	 DEBUG 	 camInfo received 		
Ldm, 00:40:37,208 	 DEBUG 	 CAM received 		
Ldm, 00:40:37,308 	 DEBUG 	 camInfo received 		
