Ldm, 09:50:30,759 	 INFO  	 Opened database successfully 		
Ldm, 09:50:31,710 	 DEBUG 	 CAM received 		
Ldm, 09:50:31,710 	 DEBUG 	 camInfo received 		
Ldm, 09:50:31,710 	 DEBUG 	 waiting for request 		
Ldm, 09:50:31,710 	 DEBUG 	 camInfo received 		
Ldm, 09:50:31,710 	 DEBUG 	 CAM received 		
Ldm, 09:50:31,858 	 DEBUG 	 camInfo received 		
Ldm, 09:50:31,858 	 DEBUG 	 CAM received 		
Ldm, 09:50:32,359 	 DEBUG 	 camInfo received 		
Ldm, 09:50:32,359 	 DEBUG 	 CAM received 		
Ldm, 09:50:32,860 	 DEBUG 	 camInfo received 		
Ldm, 09:50:32,860 	 DEBUG 	 CAM received 		
Ldm, 09:50:33,361 	 DEBUG 	 camInfo received 		
Ldm, 09:50:33,361 	 DEBUG 	 CAM received 		
Ldm, 09:50:33,862 	 DEBUG 	 camInfo received 		
Ldm, 09:50:33,862 	 DEBUG 	 CAM received 		
Ldm, 09:50:34,363 	 DEBUG 	 camInfo received 		
Ldm, 09:50:34,363 	 DEBUG 	 CAM received 		
Ldm, 09:50:34,863 	 DEBUG 	 camInfo received 		
Ldm, 09:50:34,864 	 DEBUG 	 CAM received 		
Ldm, 09:50:35,364 	 DEBUG 	 camInfo received 		
Ldm, 09:50:35,364 	 DEBUG 	 CAM received 		
Ldm, 09:50:35,865 	 DEBUG 	 camInfo received 		
Ldm, 09:50:35,865 	 DEBUG 	 CAM received 		
Ldm, 09:50:36,365 	 DEBUG 	 camInfo received 		
Ldm, 09:50:36,366 	 DEBUG 	 CAM received 		
Ldm, 09:50:36,866 	 DEBUG 	 camInfo received 		
Ldm, 09:50:36,867 	 DEBUG 	 CAM received 		
Ldm, 09:50:37,367 	 DEBUG 	 camInfo received 		
Ldm, 09:50:37,367 	 DEBUG 	 CAM received 		
Ldm, 09:50:37,868 	 DEBUG 	 camInfo received 		
Ldm, 09:50:37,868 	 DEBUG 	 CAM received 		
Ldm, 09:50:38,369 	 DEBUG 	 camInfo received 		
Ldm, 09:50:38,369 	 DEBUG 	 CAM received 		
Ldm, 09:50:38,869 	 DEBUG 	 camInfo received 		
Ldm, 09:50:38,870 	 DEBUG 	 CAM received 		
